NOME;CNPJ
ABC;28195667
Master;33923798
VOTORANTIM;59588111
Banco Original;92894922
BOCOM;15114366
BRB;00000208
BTG;30306294
Agibank;10664513
Banco C6;31872495
BMG;61186680
Banco John Deere;91884981
PINE;62144175
INTER;00416968
Sicoob;02038232
Banco Fibra;58616418
PicPay;09516419
Banco Digimais;92874270
Daycoval;62232889
Banco CNH;02992446
Banco de Desenvolvimento de Minas Gerais;38486817
China Construction;07450604
Banco Fator;33644196
Banco Pan;59285411
Nubank;30680829
Banco Rodobens;33603457
Banco BS2;71027866
Banco Mercantil do Brasil;17184037
Banco Volkswagen;59109165
Qista SA;36583700
Banco Safra;58160789
Banco Bari;00556603
Pagbank;10264663
Caruana;09313766
DM FINANCEIRA;91669747
BR Partners;13220493
Banco Guanabara;31880826
Banco Rendimento;68900810
Agrolend;43774196
Banco Triangulo;17351180
Banco Luso Brasileiro;59118133
Plantae;35551187
Mercado Crédito CFI;37679449
